TRADES DECEMBER;;;;;6,36;6,36;6,36;6,356469508;;;;;;
Symbol;Date/Time;Quantity;T. Price;C. Price;Proceeds (excl. comm.);Comm/Fee;Basis (incl. comm.;Realized P/L (incl. comm.);;Proceeds;change basis;Comm;Real gain;Diff.
GN;2025-12-30, 09:33:51;-1,3;1064500;1.067.500;21.770,73;-10,88;-20.081,24;1.678,61;;;;;;
NOVO B;2025-12-30, 09:45:39;-2,101;3269000;3.252.500;108.050,03;-54,02;-128.614,93;-20.618,93;;;;;;
ORSTED;2025-12-30, 09:35:11;-1,768;1209500;1.223.500;33.641,25;-16,82;-72.166,75;-38.542,33;;;;;;
TRMD A;2025-12-30, 09:46:06;-5,386;1,26348E+11;1.269.000;107.057,60;-53,53;-98.297,77;8.706,30;;;;;;
VWS;2025-12-30, 09:46:31;-2,35;1728000;1.734.000;63.884,51;-31,94;-40.410,14;23.442,43;;;;;;
Total inĀUSD;;;;;334.404,11;-167,20;-359.570,82;-25.333,92;;;;;;
;;;;;;;;;;;;;;
ADBE;2025-12-30, 09:31:51;-100;3517650;3525100;35.176,50;-1,02;-34.025,00;1.150,48;;;;;;
BABA;2025-12-30, 09:32:35;-100;1490400;1473600;14.904,00;-1,02;-10.661,02;4.241,97;;;;;;
BABA;2025-12-30, 09:39:07;-95;1484900;1473600;14.106,55;-1,02;-10.127,96;3.977,57;;;;;;
CMG;2025-12-30, 09:32:30;-100;370100;370400;3.701,00;-1,02;-5.080,00;-1.380,02;;;;;;
CMG;2025-12-30, 09:39:32;-1,1;37280127273;370400;41.008,14;-5,68;-55.880,05;-14.877,59;;;;;;
COIN;2025-12-30, 09:32:44;-100;2322000;2316000;23.220,00;-1,02;-23.218,98;0,00;;;;;;
COIN;2025-12-30, 09:40:09;300;2323200;2316000;-69.696,00;-1,50;81.262,60;11.565,10;;;;;;
CRM;2025-12-30, 09:32:55;-100;2663050;2659200;26.630,50;-1,02;-26.629,48;0,00;;;;;;
CRM;2025-12-30, 09:40:25;445;2,65628E+11;2659200;-118.204,45;-2,22;106.848,11;-11.358,57;;;;;;
MRVL;2025-12-30, 09:34:04;-450;861800;867600;38.781,00;-2,32;-34.674,76;4.103,91;;;;;;
PEP;2025-12-30, 09:35:59;-665;1,44802E+11;1441600;96.293,45;-3,44;-87.251,35;9.038,67;;;;;;
SMCI;2025-12-30, 09:39:48;-11;30042727273;296500;330,47;-1,00;-504,56;-175,09;;;;;;
XYZ;2025-12-30, 09:37:11;-182553;65749939415;655400;12.002,85;-1,03;-10.001,01;2.000,81;;;;;;
Total;;;;;118.254,01;-23,30;-109.943,48;8.287,23;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Total Stocks in USD;;;;;452.658,12;-190,50;-469.514,30;-17.046,69;;;;;;
;;;;;;;;;;;;;;
Total USD  ;;;;;452.658,12;-190,50;-469.514,30;-17.046,69;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPEN TRADES NOVEMBER;;;;;6,439979352;;6,439979412;6,439978415;;Trades September;Open;;Trades September;
Symbol;;Quantity;Mult;Cost Price;Cost Basis (incl. commission);Close Price;Value (incl. commission);Unrealized P/L (incl. commission);;Proceeds;change basis;Comm;Real gain;Diff.
GN;;13;1;9.818.907;19.820,84;1.035.500,00;20.903,02;1.082,18;;;-19.820,84;-10,88;1.678,61;-21.510,33
NOVOBc;;2101;1;38.911.806.961;126.947,16;3.170.000,00;103.419,12;-23.528,04;;;-126.947,16;-54,02;-20.618,93;-106.382,25
ORSTED;;1768;1;259.460.320.984;71.230,95;1.367.500,00;37.542,67;-33.688,29;;;-71.230,95;-16,82;-38.542,33;-32.705,44
TRMDAc;;5386;1;116.009.451.787;97.023,12;1.384.500,00;115.791,01;18.767,89;;;-97.023,12;-53,53;8.706,30;-105.782,95
VWSc;;235;1;109.304.625;39.886,13;1.531.500,00;55.885,66;15.999,53;;;-39.886,13;-31,94;23.442,43;-63.360,50
Total inĀUSD;;;;;354.908,20;;333.541,47;-21.366,73;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ADBE;;100;1;340.250.027;34.025,00;3.201.300,00;32.013,00;-2.012,00;;;-34.025,00;-1,02;1.150,48;-35.176,50
BABA;;195;1;106.610.155.205;20.788,98;1.573.000,00;30.673,50;9.884,52;;;-20.788,98;-2,04;8.219,54;-29.010,56
CMG;;12;1;50.800.046;60.960,06;345.200,00;41.424,00;-19.536,06;;;-60.960,06;-6,70;-16.257,61;-44.709,15
COIN;;-200;1;290.218.062;-58.043,61;2.728.200,00;-54.564,00;3.479,61;;;58.043,61;-2,52;11.565,10;46.475,99
CRM;;-345;1;232.517.754.029;-80.218,63;2.305.400,00;-79.536,30;682,33;;;80.218,63;-3,24;-11.358,57;91.573,96
MRVL;;450;1;77.055.027;34.674,76;894.000,00;40.230,00;5.555,24;;;-34.674,76;-2,32;4.103,91;-38.780,99
PEP;;665;1;131.205.035;87.251,35;1.487.400,00;98.912,10;11.660,75;;;-87.251,35;-3,44;9.038,67;-96.293,46
SMCI;;11;1;45.868.955.545;504,56;338.500,00;372,35;-132,21;;;-504,56;-1,00;-175,09;-330,47
XYZ;;182.553;1;54.784.135.709;10.001,01;668.000,00;12.194,54;2.193,53;;;-10.001,01;-1,03;2.000,81;-12.002,85
Total;;;;;109.943,48;;121.719,19;11.775,71;;;;;;
TotalĀStocksĀinĀUSD;;;;;464.851,68;;455.260,66;-9.591,02;;0,00;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPEN TRADES DECEMBER;;;;;;;;;;Trades September;Open;;Trades September;
Symbol;;Quantity;Mult;Cost Price;Cost Basis (incl. commission);Close Price;Value (incl. commission);Unrealized P/L (incl. commission);;Proceeds;change basis;Comm;Real gain;Diff.
xx;;0;0;0;0,00;0,00;0,00;0,00;;;;;;
Total;;;;;0,00;;0,00;0,00;;;;;;
;;;;;;;;;;;;;;
TotalĀStocksĀinĀUSD;;;;;0,00;;0,00;0,00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Trades (open and closed in Sep);;;;;;;;;;;;;;
CAVA;;;;;;;;;;;;;;
MARA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
RECON;;;;;;;;;;0,00;-464.851,68;-190,51;-17.046,68;-447.995,51
;;;;;;;;;;452.658,12;-464.851,68;-190,50;-17.046,69;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Trades, Month ;;;;;;;;;;;;;;
Trades (Sales);;;;;640.558,57;;;;;;;;;
Trades (Purchase) ;;;;;-187.900,45;;;;;;;;;
Trades (Net) - excl. commission;;;;;452.658,12;;;;;;;;;
;;;;;;;;;;;;;;
Open Trades, Change ;;;;;;;;;;;;;;
Open Trades, Nov - incl. commission;;;;;464.851,68;;;;;;;;;
Open Trades, Dec - incl. commission;;;;;0,00;;;;;;;;;
Open Trades, Change ;;;;;-464.851,68;;;;;;;;;
;;;;;;;;;;;;;;
Gain (calculated) incl. commission;;;;;-12.193,56;;;;;;;;;
;;;;;;;;;;;;;;
Recon gain (Trades Overview);;;;;;;gain;loss;;;;;;
Realized gain (Trade Overview) - incl. Commission;;;;;-17.046,69;;69.905,85;-86.952,53;;;;;;
Less commission;;;;;190,50;;109,74;80,76;;;;;;
Rounding;;;;;0,02;;;;;;;;;
FX currency on Novo and Orsted;;;;;-447.995,51;;;;;;;;;
Gain (calculated) - exclusive commission;;;;;-464.851,68;;;;;;;;;
Variance;;;;;-452.658,12;;;;;;;;;
;;;;;;;;;;;;;;
Recon open trades (Open Trades Overview);;;;;;;;;;;;;;
Open trades overview, costs;;;;;0,00;;;;;;;;;
Open trades calculated, costs;;;;;0,00;;;;;;;;;
Variance;;;;;0,00;;;;;;;;;
;;;;;;;;;;;;;;
Unrealized currency gain, Nov;;;;;-9.591,02;;;;;;;;;
Unrealized currency gain, Dec;;;;;0,00;;;;;;;;;
Unrealized currency gain, Change;;;;;9.591,02;;;;;;;;;
;;;;;;;;;;;;;;
Open trades overview, value;;;;;0,00;;;;;;;;;
Unrealized profit;;;;;0,00;;;;;;;;;
Open trades overview, costs;;;;;0,00;;;;;;;;;
Variance;;;;;0,00;;;;;;;;;
